Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
200.0,Derrick Jones Jr.,28.0,LAC,SF,47.0,42.0,27.1,3.9,7.7,0.504,1.1,3.1,0.354,2.8,4.6,0.604,0.575,1.4,1.9,0.764,1.2,2.3,3.4,1.4,0.9,1.0,0.8,2.1,10.3,
201.0,Neemias Queta,26.0,BOS,C,74.0,73.0,25.5,4.3,6.6,0.651,0.0,0.1,0.0,4.3,6.5,0.66,0.651,1.6,2.3,0.699,3.0,5.3,8.3,1.6,0.8,1.3,1.0,2.8,10.3,
202.0,Khris Middleton,34.0,2TM,SF,60.0,47.0,23.2,3.7,8.7,0.42,1.1,3.0,0.354,2.6,5.8,0.454,0.48,1.9,2.1,0.867,0.9,2.9,3.7,2.8,0.7,0.2,1.7,2.4,10.2,
202.0,Khris Middleton,34.0,WAS,SF,34.0,34.0,24.3,3.8,8.8,0.433,1.0,2.9,0.333,2.9,5.9,0.483,0.488,1.7,2.0,0.841,0.9,3.1,3.9,3.3,0.8,0.3,1.7,2.5,10.3,
202.0,Khris Middleton,34.0,DAL,SF,26.0,13.0,21.7,3.5,8.6,0.402,1.2,3.0,0.38,2.3,5.6,0.414,0.469,2.0,2.3,0.898,0.8,2.7,3.5,2.3,0.6,0.0,1.8,2.1,10.1,
203.0,D'Angelo Russell,29.0,DAL,PG,26.0,3.0,19.0,3.6,8.9,0.405,1.3,4.3,0.295,2.3,4.6,0.508,0.476,1.7,2.3,0.717,0.3,2.0,2.3,4.0,0.5,0.1,1.9,1.2,10.2,
204.0,Jalen Smith,25.0,CHI,C,53.0,21.0,20.7,3.7,7.6,0.483,1.5,4.2,0.373,2.1,3.5,0.614,0.584,1.3,1.8,0.742,1.8,4.8,6.7,1.2,0.5,0.8,1.0,2.1,10.2,
205.0,Ziaire Williams,24.0,BRK,SF,56.0,13.0,22.9,3.3,7.7,0.425,1.5,4.5,0.343,1.8,3.3,0.538,0.524,2.1,2.5,0.85,0.5,1.9,2.4,1.1,1.4,0.4,1.1,2.1,10.2,
206.0,Will Riley,19.0,WAS,SF,71.0,16.0,21.6,3.6,8.0,0.447,1.1,3.2,0.33,2.5,4.8,0.525,0.513,1.9,2.4,0.795,0.8,2.0,2.7,1.9,0.7,0.1,1.2,1.2,10.1,
207.0,Kevin Huerter,27.0,2TM,SG,67.0,14.0,22.6,3.9,8.7,0.451,1.4,4.7,0.305,2.5,4.0,0.624,0.534,0.8,1.0,0.768,0.5,3.0,3.5,2.6,0.9,0.5,1.1,1.7,10.0,
207.0,Kevin Huerter,27.0,CHI,SF,44.0,11.0,23.6,4.2,9.2,0.455,1.6,5.1,0.314,2.6,4.1,0.63,0.542,0.9,1.3,0.732,0.5,3.3,3.8,2.6,0.8,0.6,1.1,1.9,10.9,
207.0,Kevin Huerter,27.0,DET,SG,23.0,3.0,20.7,3.4,7.7,0.441,1.1,4.0,0.283,2.3,3.7,0.612,0.514,0.5,0.6,0.923,0.5,2.4,2.9,2.4,1.0,0.3,1.0,1.3,8.4,
208.0,Tristan Da Silva,24.0,ORL,SF,74.0,34.0,24.8,3.6,8.1,0.449,1.6,4.2,0.379,2.1,3.9,0.524,0.547,1.1,1.3,0.882,0.8,2.9,3.7,1.5,0.9,0.3,0.9,1.6,10.0,
209.0,Olivier-Maxence Prosper,23.0,MEM,PF,53.0,24.0,18.6,3.6,6.6,0.549,1.1,2.8,0.405,2.5,3.8,0.653,0.634,1.6,2.2,0.754,1.1,2.4,3.5,1.0,0.8,0.2,0.9,1.6,10.0,
210.0,Isaiah Stewart,24.0,DET,C,55.0,13.0,23.1,3.8,7.0,0.541,0.7,2.1,0.333,3.1,4.9,0.632,0.592,1.7,2.3,0.76,1.7,3.4,5.1,1.2,0.3,1.6,1.1,2.8,10.0,
211.0,Precious Achiuwa,26.0,SAC,C,71.0,55.0,23.7,4.3,8.0,0.535,0.4,1.3,0.3,3.9,6.7,0.579,0.559,1.0,1.8,0.548,2.4,4.3,6.7,1.3,0.9,0.7,0.9,1.7,9.9,
212.0,Harrison Barnes,33.0,SAS,PF,74.0,52.0,25.8,3.4,7.4,0.452,1.8,4.7,0.389,1.5,2.8,0.559,0.574,1.3,1.6,0.828,0.8,2.0,2.8,1.9,0.6,0.2,0.8,1.1,9.9,
213.0,A.J. Green,26.0,MIL,SG,75.0,65.0,28.8,3.2,7.7,0.417,2.8,6.9,0.411,0.4,0.8,0.475,0.602,0.7,0.8,0.847,0.3,2.3,2.7,1.9,0.5,0.1,1.0,2.3,9.9,
214.0,Ausar Thompson,23.0,DET,SF,70.0,69.0,26.1,4.2,8.0,0.521,0.1,0.3,0.261,4.1,7.7,0.532,0.526,1.5,2.6,0.565,2.1,3.7,5.8,3.1,2.0,0.9,1.5,2.7,9.9,
215.0,Zach Collins,28.0,CHI,C,10.0,0.0,18.4,3.7,6.4,0.578,0.9,2.1,0.429,2.8,4.3,0.651,0.648,1.4,2.0,0.7,1.6,4.0,5.6,1.5,0.2,0.4,1.0,1.8,9.7,
216.0,Jordan Miller,26.0,LAC,SF,57.0,1.0,21.6,3.5,6.5,0.528,0.6,1.8,0.34,2.9,4.8,0.597,0.574,2.2,2.9,0.767,0.9,2.1,3.0,2.2,0.8,0.2,1.0,1.0,9.7,
217.0,Royce O'Neale,32.0,PHO,SF,76.0,67.0,28.5,3.3,8.0,0.418,2.7,6.7,0.406,0.6,1.3,0.475,0.587,0.3,0.5,0.722,0.8,4.0,4.8,2.7,1.1,0.4,1.3,2.3,9.7,
218.0,Zaccharie Risacher,20.0,ATL,SF,65.0,45.0,22.5,3.7,8.0,0.457,1.4,3.9,0.373,2.2,4.1,0.535,0.547,0.9,1.4,0.636,1.0,2.7,3.8,1.1,0.9,0.5,0.8,2.2,9.6,
219.0,Aaron Wiggins,27.0,OKC,SG,62.0,19.0,21.9,3.6,8.3,0.433,1.5,4.2,0.356,2.1,4.1,0.512,0.523,0.8,1.1,0.743,0.6,2.5,3.1,1.6,0.9,0.4,1.3,1.3,9.6,
220.0,Daniel Gafford,27.0,DAL,C,55.0,44.0,21.7,3.8,5.7,0.655,0.0,0.0,,3.8,5.7,0.655,0.655,2.0,2.9,0.683,2.5,4.4,6.9,1.1,0.8,1.3,1.1,2.6,9.5,
221.0,Jay Huff,27.0,IND,C,79.0,47.0,20.8,3.5,7.4,0.473,1.5,4.6,0.319,2.1,2.9,0.715,0.571,1.0,1.2,0.819,0.9,3.0,3.8,1.4,0.5,1.8,0.9,2.3,9.5,
222.0,Daniss Jenkins,24.0,DET,PG,69.0,19.0,20.3,3.3,7.9,0.418,1.0,2.7,0.383,2.3,5.2,0.436,0.484,1.8,2.2,0.824,0.7,1.5,2.2,3.8,0.9,0.2,1.6,1.5,9.5,
223.0,Landry Shamet,28.0,NYK,SG,49.0,12.0,22.9,3.2,7.2,0.439,2.0,5.2,0.392,1.1,2.0,0.561,0.581,1.1,1.6,0.711,0.4,1.4,1.8,1.4,0.6,0.2,0.6,1.5,9.5,
224.0,Javon Small,23.0,MEM,PG,40.0,12.0,20.1,3.2,6.7,0.472,1.5,3.3,0.439,1.7,3.4,0.504,0.58,1.7,2.0,0.825,0.9,2.3,3.1,3.8,0.8,0.2,1.4,1.6,9.5,
225.0,Marcus Smart,31.0,LAL,SG,60.0,53.0,28.8,3.1,7.7,0.399,1.6,4.8,0.336,1.5,3.0,0.5,0.502,1.7,2.1,0.816,0.6,2.2,2.8,2.8,1.4,0.4,1.5,2.6,9.5,
226.0,T.J. McConnell,33.0,IND,PG,56.0,4.0,17.2,4.3,8.0,0.538,0.3,0.9,0.32,4.0,7.1,0.565,0.556,0.4,0.5,0.862,0.4,1.8,2.2,5.1,1.0,0.2,1.1,1.1,9.4,
