Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
547.0,Harrison Ingram,23.0,SAS,SF,7.0,0.0,26.0,6.9,8.3,0.833,1.4,1.4,1.0,5.5,6.9,0.8,0.917,0.0,0.0,,4.2,0.0,4.2,1.4,0.0,0.0,1.4,2.8,15.2,
548.0,Hunter Sallis,22.0,PHI,SG,7.0,0.0,26.0,4.2,6.9,0.6,0.0,0.0,,4.2,6.9,0.6,0.6,1.4,2.8,0.5,0.0,1.4,1.4,5.5,0.0,1.4,6.9,2.8,9.7,
549.0,Mark Sears,23.0,MIL,PG,7.0,0.0,26.0,8.3,18.0,0.462,5.5,11.1,0.5,2.8,6.9,0.4,0.615,8.3,11.1,0.75,1.4,1.4,2.8,2.8,0.0,0.0,5.5,5.5,30.5,
550.0,Isaac Jones,25.0,2TM,PF,6.0,1.0,26.0,4.2,8.3,0.5,0.0,2.8,0.0,4.2,5.5,0.75,0.5,1.4,2.8,0.5,2.8,4.2,6.9,1.4,0.0,1.4,0.0,5.5,9.7,
550.0,Isaac Jones,25.0,SAC,PF,3.0,1.0,17.0,2.1,4.2,0.5,0.0,2.1,0.0,2.1,2.1,1.0,0.5,2.1,4.2,0.5,4.2,0.0,4.2,2.1,0.0,0.0,0.0,8.5,6.4,
550.0,Isaac Jones,25.0,DET,PF,3.0,0.0,9.0,8.0,16.0,0.5,0.0,4.0,0.0,8.0,12.0,0.667,0.5,0.0,0.0,,0.0,12.0,12.0,0.0,0.0,4.0,0.0,0.0,16.0,
551.0,Orlando Robinson,25.0,ORL,C,4.0,1.0,25.0,4.3,7.2,0.6,1.4,2.9,0.5,2.9,4.3,0.667,0.7,0.0,0.0,,2.9,2.9,5.8,4.3,1.4,0.0,0.0,4.3,10.1,
552.0,Dalano Banton,26.0,2TM,PG,5.0,0.0,25.0,5.8,13.0,0.444,0.0,0.0,,5.8,13.0,0.444,0.444,2.9,2.9,1.0,1.4,0.0,1.4,5.8,1.4,1.4,2.9,1.4,14.4,
552.0,Dalano Banton,26.0,LAC,PG,2.0,0.0,10.0,10.8,14.4,0.75,0.0,0.0,,10.8,14.4,0.75,0.75,0.0,0.0,,3.6,0.0,3.6,7.2,3.6,0.0,3.6,0.0,21.6,
552.0,Dalano Banton,26.0,BOS,PG,3.0,0.0,15.0,2.4,12.0,0.2,0.0,0.0,,2.4,12.0,0.2,0.2,4.8,4.8,1.0,0.0,0.0,0.0,4.8,0.0,2.4,2.4,2.4,9.6,
553.0,Norchad Omier,24.0,LAC,PF,6.0,0.0,24.0,10.5,15.0,0.7,0.0,1.5,0.0,10.5,13.5,0.778,0.7,4.5,4.5,1.0,6.0,4.5,10.5,3.0,1.5,0.0,0.0,6.0,25.5,
554.0,Alex Morales,28.0,ORL,PG,4.0,0.0,24.0,4.5,10.5,0.429,0.0,1.5,0.0,4.5,9.0,0.5,0.429,3.0,3.0,1.0,1.5,3.0,4.5,6.0,0.0,0.0,6.0,10.5,12.0,
555.0,Hunter Dickinson,25.0,NOP,C,4.0,0.0,22.0,3.3,9.8,0.333,0.0,3.3,0.0,3.3,6.5,0.5,0.333,3.3,3.3,1.0,0.0,1.6,1.6,0.0,0.0,3.3,4.9,6.5,9.8,
556.0,Vladislav Goldin,24.0,MIA,C,8.0,0.0,21.0,3.4,5.1,0.667,0.0,0.0,,3.4,5.1,0.667,0.667,0.0,0.0,,5.1,6.9,12.0,5.1,0.0,3.4,5.1,6.9,6.9,
557.0,Colin Castleton,25.0,ORL,C,4.0,0.0,21.0,3.4,8.6,0.4,0.0,0.0,,3.4,8.6,0.4,0.4,1.7,1.7,1.0,3.4,10.3,13.7,1.7,1.7,0.0,3.4,3.4,8.6,
558.0,Jayson Kent,23.0,POR,SF,4.0,0.0,21.0,6.9,10.3,0.667,1.7,5.1,0.333,5.1,5.1,1.0,0.75,1.7,1.7,1.0,0.0,8.6,8.6,0.0,1.7,1.7,0.0,1.7,17.1,
559.0,Brandon Clarke,29.0,MEM,PF,2.0,2.0,20.0,5.4,16.2,0.333,0.0,0.0,,5.4,16.2,0.333,0.333,3.6,7.2,0.5,7.2,3.6,10.8,1.8,3.6,0.0,0.0,9.0,14.4,
